Country,City,lat,lng,Max Temp in C,Humidity,Cloudiness,Wind Speed,Date
Yafran,albany,32.06329,12.52859,9.681,85,88,3.96,1485784982
Zuwarah,albany,32.931198,12.08199,15.356,89,56,5.46,1485784982
Sabratah,albany,32.79335,12.48845,15.306,100,92,6.71,1485784982
Gharyan,albany,32.172218,13.02028,11.231,90,92,3.86,1485784982
Zawiya,albany,32.75222,12.72778,17.0,55,40,3.6,1485784982
Tripoli,albany,32.875191,13.18746,16.0,59,40,3.6,1485781822
Tarhuna,albany,32.43502,13.6332,17.0,55,40,3.6,1485784982
Masallatah,albany,32.616669,14.0,12.856,73,88,4.81,1485784982
Al Khums,albany,32.648609,14.26191,15.181,73,88,5.26,1485784982
Zlitan,albany,32.467381,14.56874,15.181,73,88,5.26,1485784982
Birkirkara,albany,35.897221,14.46111,14.0,62,40,4.1,1485784991
Ragusa,albany,36.928242,14.71719,16.0,50,20,3.1,1485781816
Pozzallo,albany,36.730541,14.84989,14.0,50,20,3.1,1485781816
Modica,albany,36.84594,14.77399,17.0,47,40,2.1,1485785168
Rosolini,albany,36.824242,14.94779,17.0,47,40,2.1,1485784979
